census_year,clue_small_area,clue_industry,total_establishments
2003,West Melbourne (Residential),"Electricity, Gas, Water",7
2003,West Melbourne (Residential),Finance and Insurance,2
2003,West Melbourne (Residential),Health Care and Social Assistance,13
2003,West Melbourne (Residential),Information Media,4
2003,West Melbourne (Residential),Wholesale Trade,39
2002,Carlton,Arts and Recreation Services,2
2002,Carlton,Construction,9
2002,Carlton,Health Care and Social Assistance,4
2002,Carlton,Information Media,7
2002,Carlton,Other Services,18
2002,Carlton,Wholesale Trade,1
2002,East Melbourne,Admin and Support Services,4
2002,East Melbourne,Arts and Recreation Services,16
2002,East Melbourne,Construction,4
2002,East Melbourne,Education and Training,5
2002,East Melbourne,Health Care and Social Assistance,5
2002,East Melbourne,Manufacturing,1
2002,Kensington,Manufacturing,1
2002,Kensington,Other Services,8
2002,Kensington,Business Services,6
2002,Kensington,Wholesale Trade,23
2002,Melbourne (CBD),Admin and Support Services,4
2002,Melbourne (CBD),Arts and Recreation Services,7
2002,Melbourne (CBD),Construction,10
2002,Melbourne (CBD),Education and Training,36
2002,Melbourne (CBD),Finance and Insurance,6
2002,Melbourne (CBD),Information Media,49
2002,Melbourne (CBD),Information Media,5
2002,Melbourne (CBD),Manufacturing,12
2002,Melbourne (CBD),Public Administration and Safety,1
2002,Melbourne (CBD),"Transport, Postal and Storage",7
2002,Melbourne (Remainder),Arts and Recreation Services,1
2002,Melbourne (Remainder),Health Care and Social Assistance,2
2002,Melbourne (Remainder),Health Care and Social Assistance,3
2002,Melbourne (Remainder),Information Media,5
2002,Melbourne (Remainder),Agriculture and Mining,2
2002,Melbourne (Remainder),"Transport, Postal and Storage",6
2002,North Melbourne,Arts and Recreation Services,23
2002,North Melbourne,Education and Training,5
2002,North Melbourne,Health Care and Social Assistance,3
2002,North Melbourne,Other Services,15
2002,North Melbourne,Business Services,96
2002,North Melbourne,"Transport, Postal and Storage",35
2002,Parkville,Admin and Support Services,3
2002,Parkville,"Electricity, Gas, Water",1
2002,Parkville,Information Media,1
2002,Parkville,Other Services,3
2002,Parkville,Business Services,2
2002,Parkville,"Transport, Postal and Storage",1
2002,Port Melbourne,Admin and Support Services,5
2002,Port Melbourne,Other Services,2
2002,Port Melbourne,Rental and Hiring Services,2
2002,Port Melbourne,Retail Trade,5
2002,Port Melbourne,"Transport, Postal and Storage",8
2002,Port Melbourne,Wholesale Trade,11
2002,South Yarra,Food and Beverage Services,2
2002,South Yarra,Education and Training,1
2002,Southbank,Food and Beverage Services,48
2002,Southbank,Agriculture and Mining,2
2002,Southbank,Arts and Recreation Services,6
2002,Southbank,Construction,4
2002,Southbank,Education and Training,2
2002,Southbank,Education and Training,3
2002,Southbank,Public Administration and Safety,7
2002,West Melbourne (Industrial),Construction,3
2002,West Melbourne (Industrial),Wholesale Trade,4
2002,West Melbourne (Residential),Food and Beverage Services,39
2002,West Melbourne (Residential),Finance and Insurance,13
2002,West Melbourne (Residential),Manufacturing,8
2002,West Melbourne (Residential),Other Services,2
2002,West Melbourne (Residential),Business Services,9
2002,West Melbourne (Residential),Wholesale Trade,49
2023,City of Melbourne (total),Food and Beverage Services,7
2023,City of Melbourne (total),Admin and Support Services,257
2023,City of Melbourne (total),Agriculture and Mining,1
2023,City of Melbourne (total),Education and Training,36
2023,City of Melbourne (total),Finance and Insurance,7
2023,City of Melbourne (total),Health Care and Social Assistance,23
2023,City of Melbourne (total),Other Services,7
2023,City of Melbourne (total),Public Administration and Safety,124
2023,City of Melbourne (total),Retail Trade,9
2023,City of Melbourne (total),Wholesale Trade,41
2022,City of Melbourne (total),Arts and Recreation Services,229
2022,City of Melbourne (total),Construction,7
2022,City of Melbourne (total),Construction,201
2022,City of Melbourne (total),Health Care and Social Assistance,21
2022,City of Melbourne (total),Manufacturing,12
2022,City of Melbourne (total),Other Services,1051
2022,City of Melbourne (total),Wholesale Trade,5
2021,City of Melbourne (total),Food Catering Services,10
2021,City of Melbourne (total),Admin and Support Services,327
2021,City of Melbourne (total),Admin and Support Services,120
2021,City of Melbourne (total),Admin and Support Services,7
2021,City of Melbourne (total),Education and Training,29
2021,City of Melbourne (total),Education and Training,335
2021,City of Melbourne (total),Real Estate Services,8
2020,City of Melbourne (total),Food and Beverage Services,7
2020,City of Melbourne (total),Admin and Support Services,126
2020,City of Melbourne (total),Arts and Recreation Services,255
2020,City of Melbourne (total),"Electricity, Gas, Water",18
2020,City of Melbourne (total),Finance and Insurance,207
2020,City of Melbourne (total),Finance and Insurance,51
2020,City of Melbourne (total),Health Care and Social Assistance,24
2020,City of Melbourne (total),Information Media,15
2020,City of Melbourne (total),Information Media,26
2020,City of Melbourne (total),Business Services,639
2020,City of Melbourne (total),Business Services,64
2020,City of Melbourne (total),Real Estate Services,9
2020,City of Melbourne (total),Rental and Hiring Services,38
2020,City of Melbourne (total),"Transport, Postal and Storage",159
2020,City of Melbourne (total),Wholesale Trade,8
2020,City of Melbourne (total),Wholesale Trade,43
2019,City of Melbourne (total),Food Catering Services,152
2019,City of Melbourne (total),"Electricity, Gas, Water",144
2019,City of Melbourne (total),Finance and Insurance,694
2019,City of Melbourne (total),Wholesale Trade,5
2019,City of Melbourne (total),Wholesale Trade,48
2018,City of Melbourne (total),Food and Beverage Services,355
2018,City of Melbourne (total),Arts and Recreation Services,289
2018,City of Melbourne (total),Construction,83
2018,City of Melbourne (total),Education and Training,365
2018,City of Melbourne (total),Education and Training,238
2018,City of Melbourne (total),Education and Training,27
2018,City of Melbourne (total),Health Care and Social Assistance,960
2018,City of Melbourne (total),Manufacturing,408
2018,City of Melbourne (total),Public Administration and Safety,109
2018,City of Melbourne (total),"Transport, Postal and Storage",18
2017,City of Melbourne (total),Admin and Support Services,14
2017,City of Melbourne (total),Arts and Recreation Services,97
2017,City of Melbourne (total),Arts and Recreation Services,18
2017,City of Melbourne (total),Education and Training,24
2017,City of Melbourne (total),Finance and Insurance,42
2017,City of Melbourne (total),Public Administration and Safety,44
2017,City of Melbourne (total),Real Estate Services,4
2017,City of Melbourne (total),"Transport, Postal and Storage",18
2017,City of Melbourne (total),Wholesale Trade,52
2016,City of Melbourne (total),Admin and Support Services,118
2016,City of Melbourne (total),"Electricity, Gas, Water",15
2016,City of Melbourne (total),Other Services,101
2016,City of Melbourne (total),Business Services,563
2016,City of Melbourne (total),Real Estate Services,14
2016,City of Melbourne (total),Real Estate Services,307
2016,City of Melbourne (total),Retail Trade,6
2016,City of Melbourne (total),Wholesale Trade,52
2015,City of Melbourne (total),Food Catering Services,85
2015,City of Melbourne (total),"Electricity, Gas, Water",150
2015,City of Melbourne (total),"Electricity, Gas, Water",11
2015,City of Melbourne (total),Finance and Insurance,43
2015,City of Melbourne (total),Health Care and Social Assistance,8
2015,City of Melbourne (total),Manufacturing,16
2015,City of Melbourne (total),Business Services,2140
2015,City of Melbourne (total),Wholesale Trade,483
2014,City of Melbourne (total),Food and Beverage Services,16
2014,City of Melbourne (total),Food and Beverage Services,307
2014,City of Melbourne (total),Arts and Recreation Services,220
2014,City of Melbourne (total),Education and Training,27
2014,City of Melbourne (total),Health Care and Social Assistance,119
2014,City of Melbourne (total),Manufacturing,443
2014,City of Melbourne (total),Other Services,1225
2014,City of Melbourne (total),Other Services,96
2014,City of Melbourne (total),Business Services,537
2014,City of Melbourne (total),Wholesale Trade,492
2013,City of Melbourne (total),Education and Training,12
2013,City of Melbourne (total),Finance and Insurance,690
2013,City of Melbourne (total),Health Care and Social Assistance,18
2013,City of Melbourne (total),Manufacturing,70
2013,City of Melbourne (total),Other Services,9
2013,City of Melbourne (total),Public Administration and Safety,50
2013,City of Melbourne (total),Retail Trade,6
2013,City of Melbourne (total),Wholesale Trade,8
2012,City of Melbourne (total),Food and Beverage Services,5
2012,City of Melbourne (total),Education and Training,22
2012,City of Melbourne (total),Health Care and Social Assistance,10
2012,City of Melbourne (total),Information Media,29
2012,City of Melbourne (total),Rental and Hiring Services,7
2012,City of Melbourne (total),Wholesale Trade,12
2011,City of Melbourne (total),Construction,7
2011,City of Melbourne (total),"Electricity, Gas, Water",9
2011,City of Melbourne (total),Agriculture and Mining,4
2011,City of Melbourne (total),"Transport, Postal and Storage",200
2010,City of Melbourne (total),Food and Beverage Services,12
2010,City of Melbourne (total),Agriculture and Mining,10
2010,City of Melbourne (total),Construction,5
2010,City of Melbourne (total),Agriculture and Mining,1
2010,City of Melbourne (total),Public Administration and Safety,45
2010,City of Melbourne (total),Real Estate Services,45
2010,City of Melbourne (total),"Transport, Postal and Storage",55
2010,City of Melbourne (total),"Transport, Postal and Storage",202
2009,City of Melbourne (total),Admin and Support Services,603
2009,City of Melbourne (total),Admin and Support Services,13
2009,City of Melbourne (total),Arts and Recreation Services,275
2009,City of Melbourne (total),Education and Training,10
2009,City of Melbourne (total),Education and Training,318
2009,City of Melbourne (total),Health Care and Social Assistance,16
2009,City of Melbourne (total),Information Media,14
2009,City of Melbourne (total),Business Services,61
2009,City of Melbourne (total),Public Administration and Safety,127
2009,City of Melbourne (total),Retail Trade,25
2008,City of Melbourne (total),Food and Beverage Services,4
2008,City of Melbourne (total),Information Media,94
2008,City of Melbourne (total),Agriculture and Mining,8
2008,City of Melbourne (total),Business Services,59
2008,City of Melbourne (total),Retail Trade,92
2008,City of Melbourne (total),"Transport, Postal and Storage",85
2007,City of Melbourne (total),Food Catering Services,16
2007,City of Melbourne (total),Food Catering Services,72
2007,City of Melbourne (total),Agriculture and Mining,5
2007,City of Melbourne (total),Arts and Recreation Services,16
2007,City of Melbourne (total),Construction,38
2007,City of Melbourne (total),"Electricity, Gas, Water",17
2007,City of Melbourne (total),Information Media,18
2007,City of Melbourne (total),Information Media,105
2007,City of Melbourne (total),Agriculture and Mining,3
2007,City of Melbourne (total),Other Services,96
2007,City of Melbourne (total),Retail Trade,25
2007,City of Melbourne (total),"Transport, Postal and Storage",221
2006,City of Melbourne (total),Food Catering Services,8
2006,City of Melbourne (total),Education and Training,14
2006,City of Melbourne (total),Education and Training,20
2006,City of Melbourne (total),Health Care and Social Assistance,751
2006,City of Melbourne (total),Health Care and Social Assistance,16
2006,City of Melbourne (total),Manufacturing,469
2006,City of Melbourne (total),Rental and Hiring Services,3
2006,City of Melbourne (total),Rental and Hiring Services,7
2006,City of Melbourne (total),Retail Trade,96
2006,City of Melbourne (total),"Transport, Postal and Storage",71
2005,City of Melbourne (total),Arts and Recreation Services,210
2005,City of Melbourne (total),Construction,33
2005,City of Melbourne (total),"Electricity, Gas, Water",6
2005,City of Melbourne (total),Business Services,1794
2005,City of Melbourne (total),Retail Trade,24
2005,City of Melbourne (total),"Transport, Postal and Storage",63
2005,City of Melbourne (total),Wholesale Trade,5
2004,City of Melbourne (total),Health Care and Social Assistance,61
2004,City of Melbourne (total),Agriculture and Mining,4
2004,City of Melbourne (total),Retail Trade,1800
2004,City of Melbourne (total),Retail Trade,7
2004,City of Melbourne (total),"Transport, Postal and Storage",69
2004,City of Melbourne (total),"Transport, Postal and Storage",11
2003,City of Melbourne (total),Food and Beverage Services,163
2003,City of Melbourne (total),Admin and Support Services,551
2003,City of Melbourne (total),"Electricity, Gas, Water",14
2003,City of Melbourne (total),Finance and Insurance,49
2003,City of Melbourne (total),Health Care and Social Assistance,62
2003,City of Melbourne (total),Health Care and Social Assistance,18
2003,City of Melbourne (total),Information Media,11
2003,City of Melbourne (total),Public Administration and Safety,2
2003,City of Melbourne (total),Public Administration and Safety,106
2003,City of Melbourne (total),Real Estate Services,154
2002,City of Melbourne (total),Food Catering Services,109
2002,City of Melbourne (total),Food and Beverage Services,158
2002,City of Melbourne (total),Food and Beverage Services,4
2002,City of Melbourne (total),Admin and Support Services,6
2002,City of Melbourne (total),Agriculture and Mining,10
2002,City of Melbourne (total),"Electricity, Gas, Water",12
2002,City of Melbourne (total),"Electricity, Gas, Water",15
2002,City of Melbourne (total),Health Care and Social Assistance,17
2002,City of Melbourne (total),Manufacturing,7
2002,City of Melbourne (total),Other Services,933
2008,West Melbourne (Residential),Food Catering Services,1
2008,West Melbourne (Residential),Arts and Recreation Services,8
2008,West Melbourne (Residential),Public Administration and Safety,2
2008,West Melbourne (Residential),Wholesale Trade,42
2007,Carlton,Information Media,7
2007,Carlton,Information Media,1
2007,Carlton,Real Estate Services,14
2007,Carlton,"Transport, Postal and Storage",6
2007,Docklands,Food and Beverage Services,11
2007,Docklands,"Electricity, Gas, Water",8
2007,Docklands,Business Services,3
2007,Docklands,Public Administration and Safety,3
2007,Docklands,Real Estate Services,3
2007,Docklands,"Transport, Postal and Storage",2
2007,Docklands,"Transport, Postal and Storage",5
2007,East Melbourne,Food Catering Services,17
2007,East Melbourne,Education and Training,7
2007,East Melbourne,Finance and Insurance,10
2007,East Melbourne,Health Care and Social Assistance,1
2007,East Melbourne,Information Media,5
2007,East Melbourne,Business Services,15
2007,East Melbourne,Wholesale Trade,2
2007,Kensington,Admin and Support Services,2
2007,Kensington,"Transport, Postal and Storage",2
2007,Melbourne (CBD),Food Catering Services,57
2007,Melbourne (CBD),Admin and Support Services,3
2007,Melbourne (CBD),Admin and Support Services,84
2007,Melbourne (CBD),Arts and Recreation Services,98
2007,Melbourne (CBD),Education and Training,9
2007,Melbourne (CBD),Finance and Insurance,40
2007,Melbourne (CBD),Finance and Insurance,142
2007,Melbourne (CBD),Health Care and Social Assistance,25
2007,Melbourne (CBD),Public Administration and Safety,28
2007,Melbourne (Remainder),Admin and Support Services,22
2007,Melbourne (Remainder),Finance and Insurance,3
2007,Melbourne (Remainder),Finance and Insurance,10
2007,Melbourne (Remainder),Manufacturing,1
2007,North Melbourne,Food and Beverage Services,84
2007,North Melbourne,Admin and Support Services,5
2007,North Melbourne,Arts and Recreation Services,4
2007,North Melbourne,Construction,5
2007,North Melbourne,Education and Training,6
2007,North Melbourne,Health Care and Social Assistance,63
2007,North Melbourne,Agriculture and Mining,1
2007,North Melbourne,Rental and Hiring Services,15
2007,North Melbourne,"Transport, Postal and Storage",6
2007,Parkville,"Electricity, Gas, Water",7
2007,Parkville,Business Services,6
2007,Parkville,"Transport, Postal and Storage",5
2007,Port Melbourne,Food and Beverage Services,6
2007,Port Melbourne,Arts and Recreation Services,1
2007,Port Melbourne,Rental and Hiring Services,1
2007,South Yarra,"Electricity, Gas, Water",5
2007,South Yarra,Information Media,1
2007,Southbank,"Transport, Postal and Storage",4
2007,West Melbourne (Industrial),Information Media,1
2007,West Melbourne (Industrial),Public Administration and Safety,4
2007,West Melbourne (Residential),Admin and Support Services,1
2007,West Melbourne (Residential),Business Services,14
2006,Carlton,Food Catering Services,17
2006,Carlton,Admin and Support Services,1
2006,Carlton,Information Media,16
2006,East Melbourne,Information Media,7
2006,Kensington,Arts and Recreation Services,7
2006,Melbourne (CBD),Business Services,33
2006,Melbourne (CBD),"Transport, Postal and Storage",4
2006,Melbourne (Remainder),Education and Training,3
2006,Melbourne (Remainder),Manufacturing,1
2006,Melbourne (Remainder),Business Services,61
2006,Melbourne (Remainder),Public Administration and Safety,5
2006,North Melbourne,Food Catering Services,8
2006,North Melbourne,Admin and Support Services,17
2006,North Melbourne,Arts and Recreation Services,26
2006,North Melbourne,Agriculture and Mining,1
2006,North Melbourne,Business Services,12
2006,North Melbourne,Rental and Hiring Services,1
2006,North Melbourne,Rental and Hiring Services,11
2006,North Melbourne,Retail Trade,2
2006,Parkville,Agriculture and Mining,1
2006,Parkville,Education and Training,5
2006,Parkville,Finance and Insurance,5
2006,Parkville,Business Services,1
2006,Parkville,Real Estate Services,1
2006,Port Melbourne,Agriculture and Mining,2
2006,Port Melbourne,Other Services,6
2006,Port Melbourne,Real Estate Services,1
2006,Port Melbourne,Wholesale Trade,3
2006,South Yarra,Health Care and Social Assistance,3
2006,South Yarra,Public Administration and Safety,1
2006,Southbank,Public Administration and Safety,2
2006,Southbank,Rental and Hiring Services,1
2006,Southbank,Rental and Hiring Services,6
2006,Southbank,Wholesale Trade,3
2006,West Melbourne (Residential),Food and Beverage Services,1
2006,West Melbourne (Residential),Finance and Insurance,12
2006,West Melbourne (Residential),Real Estate Services,3
2006,West Melbourne (Residential),"Transport, Postal and Storage",21
2006,West Melbourne (Residential),Wholesale Trade,44
2005,Carlton,Construction,6
2005,Carlton,Education and Training,19
2005,Docklands,Construction,1
2005,Docklands,Manufacturing,2
2005,Docklands,Other Services,13
2005,Docklands,Public Administration and Safety,2
2005,Docklands,Real Estate Services,12
2005,East Melbourne,Finance and Insurance,5
2005,East Melbourne,Finance and Insurance,5
2005,East Melbourne,Retail Trade,16
2005,East Melbourne,Wholesale Trade,5
2005,Kensington,Retail Trade,7
2005,Melbourne (CBD),Food and Beverage Services,1
2005,Melbourne (CBD),Admin and Support Services,4
2005,Melbourne (CBD),"Electricity, Gas, Water",6
2005,North Melbourne,Food and Beverage Services,82
2005,North Melbourne,Food Catering Services,8
2005,North Melbourne,"Electricity, Gas, Water",1
2005,North Melbourne,Retail Trade,2
2005,Parkville,Food and Beverage Services,5
2005,Parkville,Health Care and Social Assistance,35
2005,Parkville,Business Services,1
2005,Port Melbourne,Arts and Recreation Services,2
2005,Port Melbourne,Other Services,2
2005,Port Melbourne,Business Services,11
2005,South Yarra,Education and Training,3
2005,South Yarra,Other Services,1
2005,South Yarra,Business Services,3
2005,Southbank,Education and Training,3
2005,Southbank,Health Care and Social Assistance,1
2005,Southbank,Information Media,12
2005,Southbank,Other Services,5
2005,West Melbourne (Industrial),Arts and Recreation Services,7
2005,West Melbourne (Industrial),Business Services,3
2005,West Melbourne (Industrial),Public Administration and Safety,4
2005,West Melbourne (Industrial),Rental and Hiring Services,1
2005,West Melbourne (Industrial),"Transport, Postal and Storage",31
2005,West Melbourne (Residential),Education and Training,6
2004,Carlton,Finance and Insurance,8
2004,Carlton,Health Care and Social Assistance,78
2004,Docklands,Arts and Recreation Services,1
2004,Docklands,Information Media,2
2004,Docklands,Manufacturing,2
2004,Docklands,Other Services,10
2004,Docklands,Business Services,1
2004,East Melbourne,Food and Beverage Services,1
2004,East Melbourne,Finance and Insurance,7
2004,East Melbourne,Other Services,1
2004,East Melbourne,Business Services,1
2023,Carlton,Admin and Support Services,1
2023,Carlton,Other Services,20
2023,Docklands,Food Catering Services,8
2023,West Melbourne (Residential),Food and Beverage Services,1
2023,West Melbourne (Residential),Food Catering Services,6
2022,Carlton,Arts and Recreation Services,15
2022,Docklands,Education and Training,1
2022,Docklands,Finance and Insurance,14
2022,Docklands,Real Estate Services,2
2022,East Melbourne,Other Services,1
2022,East Melbourne,Real Estate Services,5
2022,Kensington,Education and Training,5
2022,Kensington,Wholesale Trade,3
2022,Melbourne (CBD),Construction,74
2022,Melbourne (CBD),Education and Training,4
2022,Melbourne (CBD),Information Media,5
2022,Melbourne (CBD),Public Administration and Safety,6
2022,Melbourne (CBD),Real Estate Services,5
2022,Melbourne (Remainder),Food and Beverage Services,5
2022,Melbourne (Remainder),Real Estate Services,5
2022,North Melbourne,Arts and Recreation Services,33
2022,North Melbourne,Wholesale Trade,32
2022,Parkville,Food and Beverage Services,9
2022,Parkville,Food Catering Services,6
2022,Parkville,Health Care and Social Assistance,12
2022,Parkville,Manufacturing,1
2022,Parkville,Other Services,6
2022,Parkville,"Transport, Postal and Storage",2
2022,Port Melbourne,Food and Beverage Services,3
2022,Port Melbourne,Business Services,1
2022,Port Melbourne,Business Services,49
2022,South Yarra,Admin and Support Services,1
2022,South Yarra,Arts and Recreation Services,1
2022,Southbank,Education and Training,2
2022,Southbank,Information Media,9
2022,Southbank,Agriculture and Mining,1
2022,Southbank,"Transport, Postal and Storage",4
2022,West Melbourne (Industrial),"Electricity, Gas, Water",1
2022,West Melbourne (Industrial),Manufacturing,3
2022,West Melbourne (Industrial),Business Services,2
2022,West Melbourne (Residential),Admin and Support Services,2
2022,West Melbourne (Residential),Education and Training,1
2022,West Melbourne (Residential),Public Administration and Safety,3
2022,West Melbourne (Residential),Retail Trade,28
2022,West Melbourne (Residential),"Transport, Postal and Storage",7
2022,West Melbourne (Residential),Wholesale Trade,1
2021,Carlton,Food Catering Services,41
2021,Carlton,Arts and Recreation Services,5
2021,Carlton,Finance and Insurance,4
2021,Carlton,Health Care and Social Assistance,4
2021,Carlton,Health Care and Social Assistance,75
2021,Carlton,Manufacturing,19
2021,Carlton,Business Services,20
2021,Docklands,Admin and Support Services,5
2021,Docklands,Construction,1
2021,Docklands,Construction,5
2021,Docklands,Education and Training,1
2021,Docklands,Finance and Insurance,1
2021,Docklands,Health Care and Social Assistance,7
2021,Docklands,Retail Trade,2
2021,East Melbourne,Arts and Recreation Services,2
2021,East Melbourne,Finance and Insurance,1
2021,East Melbourne,Health Care and Social Assistance,4
2021,East Melbourne,Other Services,1
2021,Kensington,Arts and Recreation Services,1
2021,Kensington,Arts and Recreation Services,12
2021,Kensington,Other Services,3
2021,Melbourne (CBD),Food Catering Services,72
2021,Melbourne (CBD),Admin and Support Services,5
2021,Melbourne (CBD),Construction,39
2021,Melbourne (CBD),Health Care and Social Assistance,3
2021,Melbourne (CBD),Manufacturing,1
2021,Melbourne (CBD),Other Services,1
2021,Melbourne (CBD),Public Administration and Safety,73
2021,Melbourne (CBD),Public Administration and Safety,56
2021,Melbourne (CBD),Retail Trade,74
2021,Melbourne (CBD),"Transport, Postal and Storage",43
2021,Melbourne (Remainder),Admin and Support Services,1
2021,Melbourne (Remainder),Education and Training,4
2021,Melbourne (Remainder),Real Estate Services,5
2021,North Melbourne,Admin and Support Services,3
2021,North Melbourne,"Transport, Postal and Storage",3
2021,Parkville,Information Media,2
2021,Parkville,Public Administration and Safety,1
2021,Port Melbourne,Admin and Support Services,16
2021,Port Melbourne,Finance and Insurance,1
2021,Port Melbourne,Finance and Insurance,4
2021,Port Melbourne,Business Services,1
2021,Port Melbourne,Public Administration and Safety,6
2021,Port Melbourne,Rental and Hiring Services,3
2021,Port Melbourne,Wholesale Trade,1
2021,South Yarra,Food Catering Services,2
2021,South Yarra,Arts and Recreation Services,4
2021,Southbank,Food Catering Services,5
2021,Southbank,Education and Training,2
2021,Southbank,Manufacturing,6
2021,Southbank,Manufacturing,5
2021,Southbank,Other Services,2
2021,Southbank,Business Services,6
2021,Southbank,"Transport, Postal and Storage",1
2021,West Melbourne (Industrial),Arts and Recreation Services,1
2021,West Melbourne (Industrial),Construction,1
2021,West Melbourne (Industrial),"Electricity, Gas, Water",2
2021,West Melbourne (Industrial),Business Services,4
2021,West Melbourne (Industrial),Business Services,2
2021,West Melbourne (Industrial),Public Administration and Safety,1
2021,West Melbourne (Industrial),Rental and Hiring Services,1
2021,West Melbourne (Residential),Wholesale Trade,2
2020,Carlton,Arts and Recreation Services,5
2020,Carlton,Education and Training,43
2020,Carlton,Finance and Insurance,4
2020,Carlton,Business Services,1
2020,Carlton,Business Services,20
2020,Carlton,Public Administration and Safety,3
2020,Carlton,Real Estate Services,17
2020,Docklands,Food Catering Services,7
2020,Docklands,Food and Beverage Services,277
2020,Docklands,Agriculture and Mining,1
2020,Docklands,Education and Training,4
2020,Docklands,Manufacturing,3
2020,Docklands,Business Services,20
