name,rankingPosition,priceLevel,category,rating,address,numberOfReviews,cuisine,priceLevelNumeric
Koko Black Chocolate,38,$$ - $$$,restaurant,4.4,"52 Collins St, Melbourne, Victoria 3000 Australia",558,Dessert,3
Auction Rooms,57,$$ - $$$,restaurant,3.9,"103-107 Errol St, Melbourne, Victoria 3051 Australia",432,Korean,3
Tonka,58,$$$$,restaurant,4.52,"20 Duckboard Pl, Melbourne, Victoria 3000 Australia",817,Thai,4
Il Solito Posto,23,$$ - $$$,restaurant,4.19,"113 Collins St via George Parade, Melbourne, Victoria 3000 Australia",989,Thai,2
Geppetto Trattoria,5,$$ - $$$,restaurant,3.73,"78A Wellington Pde, Melbourne, Victoria 3002 Australia",439,Italian,2
Scopri,1,$$ - $$$,restaurant,4.5,"191 Nicholson St Carlton, Melbourne, Victoria 3053 Australia",1049,Thai,3
Railway Hotel,52,$$ - $$$,restaurant,4.13,"280 Ferrars St, Melbourne, Victoria 3205 Australia",267,Japanese,2
Afternoon Tea at The Hotel Windsor,41,$$$$,restaurant,3.74,"111 Spring Street The Hotel Windsor, Melbourne, Victoria 3000 Australia",1508,American,4
Piccolo Mondo,47,$$ - $$$,restaurant,3.75,"240 Lygon St Carlton, Melbourne, Victoria 3053 Australia",735,French,2
1932 Cafe & Restaurant,50,$$ - $$$,restaurant,4.5,"220 Collins St Manchester Unity Building, Melbourne, Victoria 3000 Australia",443,Café,2
+39 Pizzeria,48,$$ - $$$,restaurant,4.58,"362 Little Bourke St, Melbourne, Victoria 3000 Australia",1232,Dessert,3
Red Spice Road,31,$$ - $$$,restaurant,4.46,"141 Queen St, Melbourne, Victoria 3000 Australia",1737,Italian,3
Straits Cafe Melbourne,75,$$ - $$$,restaurant,4.6,"Rendezvous Hotel Melbourne 328 Flinders St, Melbourne, Victoria 3000 Australia",262,Café,3
Om Nom,83,$$$$,restaurant,3.7,"187 Flinders Lane Adelphi Hotel, Melbourne, Victoria 3000 Australia",545,Greek,4
MoVida Aqui,81,$$ - $$$,restaurant,4.3,"Nab Building, 1 500 Bourke St NAB Building, Melbourne, Victoria 3000 Australia",752,French,3
Cicciolina,62,$$ - $$$,restaurant,4.8,"130 Acland St, Melbourne, Victoria 3182 Australia",375,Thai,2
Movida Bar de Tapas,72,$$ - $$$,restaurant,4.53,"1 Hosier Lane, Melbourne, Victoria 3000 Australia",2760,Korean,3
The Sherlock Holmes,64,$$ - $$$,restaurant,3.73,"415 Collins St, Melbourne, Victoria 3000 Australia",344,Dessert,2
Rare Steakhouse Downtown,60,$$ - $$$,restaurant,4.06,"42-44 King St, Melbourne, Victoria 3000 Australia",516,American,2
Rice Paper Scissors,6,$$ - $$$,restaurant,4.6,"15 Hardware Lane, Melbourne, Victoria 3000 Australia",2701,Thai,3
Ganache Chocolate,87,$$ - $$$,restaurant,3.64,"245 Collins St, Melbourne, Victoria 3000 Australia",260,Dessert,3
Flower Drum,42,$$$$,restaurant,4.7,"17 Market Lane, Melbourne, Victoria 3000 Australia",1367,Middle Eastern,4
Rare Steakhouse Uptown,40,$$ - $$$,restaurant,4.42,"61 Little Collins St Shop 6, Melbourne, Victoria 3000 Australia",755,American,3
Manchester Press,84,$$ - $$$,restaurant,4.44,"8 Rankins Lane, Melbourne, Victoria 3000 Australia",500,Dessert,2
Caterina's Cucina E Bar,85,$$ - $$$,restaurant,4.0,"221 Queen St, Melbourne, Victoria 3000 Australia",111,Middle Eastern,3
Delhi Streets Indian Street Food,37,$,restaurant,4.64,"22 Katherine Pl, Melbourne, Victoria 3000 Australia",262,Indian,1
Amiconi,71,$$ - $$$,restaurant,4.7,"359 Victoria St Locality is West Melbourne, Melbourne, Victoria 3003 Australia",181,Greek,2
La Luna Bistro,69,$$ - $$$,restaurant,4.8,"320 Rathdowne St Carlton, North, Melbourne, Victoria 3054 Australia",384,French,2
pastuso,78,$$ - $$$,restaurant,4.4,"19 Acdc Lane Off Flinders Lane Between Collins St and Exhibition St, Melbourne, Victoria 3000 Australia",857,American,2
Brunetti Classico - Carlton,79,$$ - $$$,restaurant,4.7,"380 Lygon St 380 Lygon St, Carlton Vic, Melbourne, Victoria 3053 Australia",3247,Thai,2
Lucy Liu Kitchen and Bar,67,$$ - $$$,restaurant,4.65,"23 Oliver Lane, Melbourne, Victoria 3000 Australia",1195,Chinese,2
Max Bar Restaurant,63,$$ - $$$,restaurant,4.43,"54 - 58 Hardware Lane, Melbourne, Victoria 3000 Australia",1405,Café,2
San Telmo,66,$$ - $$$,restaurant,4.09,"14 Meyers Pl, Melbourne, Victoria 3000 Australia",709,Japanese,2
Bamboo House Chinese Restaurant,90,$$ - $$$,restaurant,3.45,"47 Little Bourke St, Melbourne, Victoria 3000 Australia",405,Chinese,3
Vue De Monde,33,$$$$,restaurant,4.34,"525 Collins St Rialto Building 55th Floor, Melbourne, Victoria 3000 Australia",2035,Thai,4
Il Bacaro Cucina e Bar,12,$$$$,restaurant,4.0,"68-170 Little Collins St 168-170 Little Collins St, Melbourne, Victoria 3000 Australia",504,Greek,4
Grand Trailer Park Taverna,82,$$ - $$$,restaurant,3.02,"87 Bourke St, Melbourne, Victoria 3000 Australia",296,Greek,2
B'Churrasco Brazilian BBQ,43,$$ - $$$,restaurant,4.4,"61 A'Beckett St, Melbourne, Victoria 3000 Australia",557,Korean,2
The Hardware Societe,35,$$ - $$$,restaurant,4.3,"10 Katherine Pl, Melbourne, Victoria 3000 Australia",1879,Dessert,2
Supernormal,53,$$ - $$$,restaurant,4.8,"180 Flinders Lane, Melbourne, Victoria 3000 Australia",1619,Greek,2
Embla,70,$$ - $$$,restaurant,4.4,"122 Russell St, Melbourne, Victoria 3000 Australia",266,Dessert,3
Cucinetta,10,$$ - $$$,restaurant,4.3,"U 4 3 Murphy St South Yarra, Melbourne, Victoria 3141 Australia",401,Middle Eastern,3
Chocolate Buddha,32,$$ - $$$,restaurant,3.38,"Cnr. Flinders & Swanston Street Federation Square, Melbourne, Victoria 3000 Australia",717,Dessert,3
The Grain Store,39,$$ - $$$,restaurant,4.35,"Ground Floor 517 Flinders Lane, Melbourne, Victoria 3000 Australia",1248,Italian,2
Cargo Restaurant,86,$$ - $$$,restaurant,4.36,"Docklands Melbourne, Melbourne, Victoria 3008 Australia",696,Australian,3
Cecconi's Flinders Lane,80,$$$$,restaurant,3.89,"61 Flinders Lane, Melbourne, Victoria 3000 Australia",539,American,4
MoVida Next Door,73,$$ - $$$,restaurant,4.0,"164 Flinders St, Melbourne, Victoria 3000 Australia",528,Dessert,2
Punch Lane,34,$$ - $$$,restaurant,3.8,"43 Little Bourke St, Melbourne, Victoria 3000 Australia",667,Seafood,2
DOC Pizza & Mozzarella Bar,91,$$ - $$$,restaurant,4.0,"295 Drummond St, Melbourne, Victoria 3053 Australia",672,Italian,3
Kenzan Japanese Restaurant,105,$$ - $$$,restaurant,4.28,"56 Flinders Lane At Collins Place, Melbourne, Victoria 3000 Australia",278,Japanese,3
Seasons Provedore,102,$$ - $$$,restaurant,3.28,"199 Lygon St, Melbourne, Victoria 3053 Australia",494,Indian,2
1806,110,$$ - $$$,restaurant,4.7,"169 Exhibition St, Melbourne, Victoria 3000 Australia",259,Indian,3
The Meat & Wine Co Southbank,112,$$ - $$$,restaurant,3.7,"3 Freshwater Pl 3 Queensbridge Street, Melbourne, Victoria 3006 Australia",1478,Japanese,3
Philippe,103,$$$$,restaurant,3.7,"115 Collins St, Melbourne, Victoria 3000 Australia",261,French,4
The Quarter,94,$$ - $$$,restaurant,3.26,"27 Degraves St, Melbourne, Victoria 3000 Australia",745,Chinese,3
Cookie,95,$$ - $$$,restaurant,4.07,"U 1 252 Swanston St Level 1, 252 Swanston St, Melbourne, Victoria 3000 Australia",1050,Vietnamese,2
P.J.O'Brien's Irish Pub,92,$$ - $$$,restaurant,4.55,"Southgate Southgate Restaurant & Shopping Precinct, Melbourne, Victoria 3006 Australia",544,Australian,2
The  European,97,$$ - $$$,restaurant,3.38,"161 Spring St, Melbourne, Victoria 3000 Australia",951,Indian,2
Rosco's at Chevron Cafe Bar,118,$$ - $$$,restaurant,4.52,"14/519 St Kilda Rd, Melbourne, Victoria 3004 Australia",262,Café,2
Hakata Gensuke Ramen,54,$,restaurant,4.8,"168 Russell St, Melbourne, Victoria 3000 Australia",369,Japanese,1
Taxi Kitchen,76,$$ - $$$,restaurant,4.8,"Level 1, Federation Square, Flinders Street Transport Hotel, Melbourne, Victoria 3000 Australia",953,Dessert,2
Bomba,65,$$ - $$$,restaurant,4.25,"103 Lonsdale St, Melbourne, Victoria 3000 Australia",457,French,3
Cumulus Inc.,59,$$ - $$$,restaurant,4.5,"45 Flinders La, Melbourne, Victoria 3000 Australia",2123,Greek,3
Gingerboy,77,$$ - $$$,restaurant,4.41,"27-29 Crossley St, Melbourne, Victoria 3000 Australia",990,Middle Eastern,2
Grill Steak Seafood,68,$$ - $$$,restaurant,3.0,"68 - 78 Hardware Lane, Melbourne, Victoria 3000 Australia",1479,American,3
Milk the Cow,2,$$ - $$$,restaurant,3.97,"U 1 157 Fitzroy St, St Kilda, Port Phillip, Victoria 3182 Australia",338,French,2
Berth,109,$$ - $$$,restaurant,3.84,"45 New Quay Promenade Docklands, Melbourne, Victoria 3008 Australia",568,American,3
Carlton Wine Room,142,$$ - $$$,restaurant,3.58,"172-174 Faraday Street Carlton, Melbourne, Victoria Australia",205,Chinese,2
Mamasita,135,$$ - $$$,restaurant,4.38,"11 Collins St, Melbourne, Victoria 3000 Australia",1307,American,2
The Meatball and Wine Bar,132,$$ - $$$,restaurant,4.61,"135 Flinders Lane, Melbourne, Victoria 3000 Australia",699,Korean,2
A Hereford Beefstouw,139,$$ - $$$,restaurant,3.95,"22 Duckboard Pl, Melbourne, Victoria 3000 Australia",199,Italian,2
Cafe Rosco,130,$$ - $$$,restaurant,3.68,"407D St Kilda Rd, Melbourne, Victoria 3004 Australia",232,Café,2
BangPop,119,$$ - $$$,restaurant,3.94,"35 South Wharf Promenade Off Dukes Walk, South Wharf, Melbourne, Victoria 3006 Australia",559,Greek,2
Caffe e Cucina,147,$$ - $$$,restaurant,3.7,"581 Chapel St South Yarra, Melbourne, Victoria 3141 Australia",490,Chinese,3
Melba Restaurant,125,$$$$,restaurant,4.14,"1 Southgate Ave The Langham, Southbank, Melbourne, Victoria 3006 Australia",1306,Thai,4
Chokolait Hub,106,$$ - $$$,restaurant,4.58,"287 Lonsdale St Shop 342, Level 3, Emporium, Melbourne, Victoria 3000 Australia",410,Café,2
Waterfront,99,$$$$,restaurant,3.59,"Southgate Avenue Shop 20/3, Melbourne, Victoria 3006 Australia",1525,Italian,4
HQ's On William,122,$$ - $$$,restaurant,3.79,"380 William St Radisson on Flagstaff Gardens, Melbourne, Victoria 3000 Australia",306,Italian,2
Bottega,96,$$$$,restaurant,3.16,"74 Bourke St, Melbourne, Victoria 3000 Australia",405,American,4
Shanghai Street,121,$,restaurant,3.3,"342 Little Bourke St, Melbourne, Victoria 3000 Australia",595,Italian,1
Lupino Bistro and Bar,16,$$ - $$$,restaurant,4.7,"41 Little Collins St, Melbourne, Victoria 3000 Australia",416,French,3
Mamak,116,$,restaurant,4.9,"366 Lonsdale St, Melbourne, Victoria 3000 Australia",514,Chinese,1
Donovans,1,$$$$,restaurant,3.82,"40 Jacka Boulevard, St Kilda, Port Phillip, Victoria 3182 Australia",1022,Vietnamese,4
Brick Lane Melbourne,14,$$ - $$$,restaurant,4.6,"33 Guildford Lane, Melbourne, Victoria 3000 Australia",208,French,2
No35,104,$$$$,restaurant,3.67,"35/25 Collins St Level 35, Melbourne, Victoria 3000 Australia",929,Seafood,4
La Camera Restaurant Southgate,145,$$ - $$$,restaurant,4.55,"Shop MR2, Mid-level, Southgate Southbank, Melbourne, Victoria 3006 Australia",1148,Korean,2
Brother Baba Budan,30,$,restaurant,3.15,"359 Little Bourke St Cbd, Melbourne, Victoria 3000 Australia",440,Australian,1
Japanese Teppanyaki Inn,107,$$$$,restaurant,4.58,"182 Collins St, Melbourne, Victoria 3000 Australia",219,Japanese,4
Rosa's Canteen,138,$$ - $$$,restaurant,4.42,"Cnr Little Bourke & Thomson St Level 1, Melbourne, Victoria 3000 Australia",154,Seafood,2
Two Birds One Stone,101,$$ - $$$,restaurant,4.2,"12 Claremont St, Melbourne, Victoria 3141 Australia",366,Australian,2
Red Emperor Chinese Restaurant,165,$$ - $$$,restaurant,3.52,"3 Southgate Ave M10/ Mid Level, Melbourne, Victoria 3006 Australia",534,Chinese,3
Squires Loft South Yarra,93,$$ - $$$,restaurant,4.7,"166 Toorak Rd, Melbourne, Victoria 3141 Australia",383,Dessert,3
Grossi  Florentino,133,$$$$,restaurant,3.0,"80 Bourke St, Melbourne, Victoria 3000 Australia",1262,Mexican,4
Epocha,128,$$$$,restaurant,3.81,"49 Rathdowne St Carlton South, Melbourne, Victoria 3053 Australia",254,American,4
Magic Mountain Saloon,148,$$ - $$$,restaurant,4.46,"62 Little Collins St, Melbourne, Victoria 3000 Australia",289,Japanese,2
The Bank on Collins,98,$$ - $$$,restaurant,3.83,"394 Collins St, Melbourne, Victoria 3000 Australia",393,Greek,2
Ponyfish Island,115,$$ - $$$,restaurant,3.53,"Underneath Evan Walker Pedestrian Bridge Southbank, Melbourne, Victoria 3006 Australia",479,Seafood,2
IL Dolce Freddo,146,$,restaurant,4.57,"116 Lygon Street, Carlton, Melbourne, Victoria 3053 Australia",175,French,1
Osteria Ilaria,120,$$ - $$$,restaurant,3.83,"367 Little Bourke St, Melbourne, Victoria 3000 Australia",248,Italian,3
Juicy Bao,123,$,restaurant,4.5,"178-190 Little Bourke St Shop 2, Melbourne, Victoria 3000 Australia",365,Italian,1
Fitzrovia,3,$$ - $$$,restaurant,3.58,"155 Fitzroy St, St Kilda, Port Phillip, Victoria 3182 Australia",732,Thai,2
Trattoria Emilia,141,$$ - $$$,restaurant,3.76,"360 Little Collins St Little Collins Street, Melbourne, Victoria 3000 Australia",261,Italian,3
Maha,45,$$$$,restaurant,4.7,"21 Bond St, Melbourne, Victoria 3000 Australia",1702,Greek,4
Tiamo,144,$$ - $$$,restaurant,3.13,"303 Lygon St Carlton, Melbourne, Victoria 3053 Australia",726,French,3
Vivace,1,$$ - $$$,restaurant,4.5,"317 Bay St, Brighton, Bayside, Victoria 3186 Australia",408,Indian,2
Conservatory,108,$$$$,restaurant,4.36,"Crown Entertainment Complex 8 Whiteman St 8 Whiteman St, Southbank, Melbourne, Victoria 3006 Australia",1129,Italian,4
Dukes Coffee Roasters,89,$,restaurant,4.8,"247 Flinders Lane, Melbourne, Victoria 3000 Australia",182,Café,1
Trunk,129,$$ - $$$,restaurant,4.16,"275 Exhibition St, Melbourne, Victoria 3000 Australia",769,Vietnamese,3
Becco,124,$$$$,restaurant,4.18,"11-25 Crossley St, Melbourne, Victoria 3000 Australia",378,Café,4
Sally's Kitchen and Winebar,131,$$ - $$$,restaurant,4.35,"115 Little Lonsdale St, Melbourne, Victoria 3000 Australia",232,Italian,3
Higher Ground,134,$$ - $$$,restaurant,3.22,"650 Little Bourke St, Melbourne, Victoria 3000 Australia",713,Seafood,2
The Recreation bistro x bottleshop,143,$$ - $$$,restaurant,4.9,"162-170 Queens Parade, Fitzroy North, Melbourne, Victoria 3068 Australia",109,French,2
Pellegrini's Espresso Bar,127,$,restaurant,4.03,"66 Bourke St, Melbourne, Victoria 3000 Australia",1067,Café,1
DoDee Paidang Thai Bar and Cafe,117,$,restaurant,4.7,"353 Little Collins St, Melbourne, Victoria 3000 Australia",185,Thai,1
Ca de Vin,136,$$ - $$$,restaurant,4.6,"350 Bourke St Melbourne GPO, Melbourne, Victoria 3000 Australia",523,Thai,3
Terra Rossa Restaurant & Bar,137,$$ - $$$,restaurant,4.9,"87 Flinders Lane, Melbourne, Victoria 3000 Australia",458,Mexican,2
Noir,3,$$$$,restaurant,4.9,"175 Swan St, Richmond, Yarra, Victoria 3121 Australia",234,Italian,4
Bistro Thierry,1,$$$$,restaurant,3.19,"511 Malvern Rd, Toorak, Stonnington, Victoria 3142 Australia",540,French,4
Bouzy Rouge,2,$$ - $$$,restaurant,4.8,"470 Bridge Rd, Richmond, Yarra, Victoria 3121 Australia",358,Seafood,2
Sake Restaurant & Bar,180,$$ - $$$,restaurant,4.31,"100 St Kilda Rd Hamer Hall, Arts Centre, Melbourne, Victoria 3004 Australia",725,Seafood,2
Ginger Olive Restaurant and Grill,164,$$ - $$$,restaurant,4.3,"U 2 38 Manchester Lane Corner Manchester Lane and Flinders Lane, Melbourne, Victoria 3000 Australia",80,American,3
Mercadante Woodfired Pizzeria,175,$$ - $$$,restaurant,4.9,"Shop 123, Lygon St Carlton, Melbourne, Victoria 3053 Australia",365,Middle Eastern,3
Palermo,166,$$ - $$$,restaurant,3.42,"401 Little Bourke St, Melbourne, Victoria 3000 Australia",143,Korean,2
France Soir,154,$$$$,restaurant,3.34,"11 Toorak Rd South Yarra, Melbourne, Victoria 3141 Australia",654,Dessert,4
Blondie Bar,155,$$ - $$$,restaurant,4.8,"Corner Sturt Street & Southbank Boulevard, Southbank Melbourne Recital Centre, Melbourne, Victoria 3006 Australia",258,Middle Eastern,2
Ciao Cielo,159,$$ - $$$,restaurant,4.21,"115 Bay St, Melbourne, Victoria 3207 Australia",268,Dessert,2
Madame Brussels,114,$$ - $$$,restaurant,4.6,"59-63 Bourke St Level 3, Above Spaghetti Tree Restaurant!, Melbourne, Victoria 3000 Australia",461,Vietnamese,3
Pure South Dining,177,$$$$,restaurant,3.47,"3 Southgate Ave Southbank, Melbourne, Victoria 3006 Australia",927,Thai,4
Nobu Melbourne,178,$$$$,restaurant,3.47,"Crown Entertainment Complex 8 Whiteman St, Melbourne, Victoria 3006 Australia",1462,Greek,4
Stalactites,149,$$ - $$$,restaurant,3.88,"177-183 Lonsdale St, Melbourne, Victoria 3000 Australia",1473,Dessert,3
St Ali Coffee Roasters,111,$$ - $$$,restaurant,3.0,"12-18 Yarra Pl, Melbourne, Victoria 3205 Australia",632,Café,2
Hofbrauhaus,126,$$ - $$$,restaurant,4.11,"18-26 Market Lane In the heart of Chinatown, Melbourne, Victoria 3000 Australia",475,Seafood,3
The Lui Bar,113,$$$$,restaurant,4.3,"Rialto L 55 525 Collins St, Melbourne, Victoria 3000 Australia",463,Chinese,4
Centonove,1,$$$$,restaurant,4.44,"109 Cotham Rd, Kew, Boroondara, Victoria 3101 Australia",252,Japanese,4
Axil Coffee Roasters,150,$$ - $$$,restaurant,4.7,"322 Burwood Rd Hawthorn Not Camberwell, Melbourne, Victoria 3122 Australia",200,Café,3
Claypots Seafood Bar,4,$$ - $$$,restaurant,3.0,"213 Barkly St, St Kilda, Port Phillip, Victoria 3182 Australia",525,Seafood,2
La Cucina Di Sandra,5,$$ - $$$,restaurant,4.8,"62 Lyndhurst St Warehouse 62, Richmond, Yarra, Victoria 3121 Australia",73,Australian,3
Vaporetto Bar & Eatery,2,$$ - $$$,restaurant,4.7,"Rear 681 Glenferrie Rd Enter via Grace St, Hawthorn, Boroondara, Victoria 3122 Australia",261,Café,2
Box Seafood Restaurant,168,$$$$,restaurant,4.19,"189 Collins St, Melbourne, Victoria 3000 Australia",416,Seafood,4
Ombra Salumi Bar,158,$$ - $$$,restaurant,3.83,"76 Bourke St, Melbourne, Victoria 3000 Australia",230,Thai,3
Brunetti Oro Flinders Lane,176,$$ - $$$,restaurant,3.87,"250 Flinders Ln, Melbourne, Victoria 3000 Australia",332,Chinese,2
The Kettle Black,140,$$ - $$$,restaurant,4.9,"50 Albert Rd, Melbourne, Victoria 3205 Australia",450,Thai,2
The Vegie Bar,6,$$ - $$$,restaurant,3.31,"380 Brunswick St, Fitzroy, Yarra, Victoria 3065 Australia",936,Chinese,2
Fiorelli,1,$$ - $$$,restaurant,4.1,"209 Camberwell Road, Camberwell, Victoria 3124 Australia",213,Japanese,2
Galleon Cafe,5,$$ - $$$,restaurant,4.1,"9 Carlisle St, St Kilda, Port Phillip, Victoria 3182 Australia",260,Café,3
Estelle,1,$$$$,restaurant,4.8,"243 High St, Northcote, Victoria 3070 Australia",395,French,4
Top Paddock,4,$$ - $$$,restaurant,4.33,"658 Church Street, Richmond, Yarra, Victoria Australia",692,Mexican,3
Jinda Thai,1,$$ - $$$,restaurant,4.66,"3-7 Ferguson St, Abbotsford, Yarra, Victoria 3067 Australia",328,Thai,3
Byblos Bar & Restaurant,191,$$ - $$$,restaurant,4.8,"12 World Trade Centre, Melbourne, Victoria 3005 Australia",314,Indian,2
Eureka 89,190,$$$$,restaurant,4.64,"7 Riverside Quay Level 89, Eureka Tower, Melbourne, Victoria 3006 Australia",264,Korean,4
Hanoi Mee Kitchen & Bar,184,$$ - $$$,restaurant,4.4,"140 Rouse St Port Melbourne, Melbourne, Victoria 3207 Australia",112,Mexican,2
The Olive Tree,186,$$ - $$$,restaurant,3.31,"19 Park St, Melbourne, Victoria 3205 Australia",180,Japanese,3
Chuckle Park Bar,188,$$ - $$$,restaurant,4.07,"322 Little Collins St, Melbourne, Victoria 3000 Australia",157,American,3
Gin Palace,156,$$ - $$$,restaurant,4.38,"10 Russell Pl, Melbourne, Victoria 3000 Australia",274,Australian,2
Mahn Doo,169,$$ - $$$,restaurant,4.4,"365 La Trobe St, Melbourne, Victoria 3000 Australia",119,Seafood,2
Banff,8,$,restaurant,4.8,"145 Fitzroy St, St Kilda, Port Phillip, Victoria 3182 Australia",384,Chinese,1
Young and Jacksons,167,$$ - $$$,restaurant,4.0,"Cnr Swanston & Flinders Sts, Melbourne, Victoria 3000 Australia",366,Thai,2
Attica,1,$$$$,restaurant,3.66,"74 Glen Eira Rd, Ripponlea, Port Phillip, Victoria 3185 Australia",626,American,4
St LuJa,7,$$ - $$$,restaurant,4.0,"9 Fitzroy St, St Kilda, Port Phillip, Victoria 3182 Australia",124,French,3
Sister of Soul,9,$$ - $$$,restaurant,4.08,"73 Acland St, St Kilda, Port Phillip, Victoria 3182 Australia",402,Mexican,3
Bistro Guillaume,160,$$$$,restaurant,4.4,"Crown Entertainment Complex 8 Whiteman St Riverside at Crown, Southbank, Melbourne, Victoria 3006 Australia",1115,French,4
Mezzo,225,$$ - $$$,restaurant,3.0,"35 Little Bourke St, Melbourne, Victoria 3000 Australia",324,Mexican,2
Self Preservation,230,$$ - $$$,restaurant,4.07,"70 Bourke St, Melbourne, Victoria 3000 Australia",207,Italian,2
Vertue Coffee Roasters,217,$$ - $$$,restaurant,3.71,"8 Raffa Place, Melbourne, Victoria 3053 Australia",114,Café,2
Shakahari Vegetarian Restaurant,231,$$ - $$$,restaurant,4.4,"201-203 Faraday St, Melbourne, Victoria 3053 Australia",221,Italian,2
Bacash Restaurant,219,$$$$,restaurant,4.9,"175 Domain Rd, Melbourne, Victoria 3141 Australia",208,Chinese,4
Koko Japanese Restaurant,241,$$$$,restaurant,3.99,"Crown Entertainment Complex 8 Whiteman St 8 Whiteman St, Southbank, Melbourne, Victoria 3006 Australia",323,Japanese,4
La Belle Miette,239,$$ - $$$,restaurant,4.06,"8 Collins St, Melbourne, Victoria 3000 Australia",121,Italian,3
Cafe Excello,193,$$ - $$$,restaurant,3.8,"99 Spring St, Melbourne, Victoria 3000 Australia",220,Café,2
Lee Ho Fook,202,$$ - $$$,restaurant,3.76,"11-15 Duckboard Pl, Melbourne, Victoria 3000 Australia",200,Middle Eastern,2
Scugnizzo,199,$$ - $$$,restaurant,4.52,"558 Little Bourke St Entrance via Merritts place, Melbourne, Victoria 3000 Australia",180,Australian,2
The Breslin Bar & Grill,179,$$ - $$$,restaurant,4.6,"2 Southbank Bvd, Melbourne, Victoria 3006 Australia",650,American,3
Tazio,201,$$ - $$$,restaurant,4.39,"91 Flinders Lane, Melbourne, Victoria 3000 Australia",291,Chinese,2
